3031;3032;doc2016;2014-05-23 02:42:08
1066;1067;doc2016;2014-05-19 16:00:10
1066;5164;doc4726;2014-05-26 15:27:50
1066;6572;docNULL;2014-05-28 17:40:48
1066;7071;doc2563;2014-05-29 20:02:25
1066;7458;doc15704;2014-05-30 18:50:54
1066;9563;doc49187;2014-06-05 19:31:17
2147;2148;doc2016;2014-05-21 18:23:57
2147;2158;docNULL;2014-05-21 18:32:07
2558;2561;docNULL;2014-05-22 08:29:37
2558;4482;doc2563;2014-05-25 12:12:24
2558;6595;doc15704;2014-05-28 18:25:12
6603;6604;doc2016;2014-05-28 18:35:18
6603;6606;docNULL;2014-05-28 18:38:01
2393;2394;doc2016;2014-05-21 22:44:06
2393;2527;doc14;2014-05-22 00:49:32
2393;2532;docNULL;2014-05-22 00:55:01
2393;4771;doc2563;2014-05-25 22:35:26
2393;5475;doc15704;2014-05-26 23:15:29
2393;10699;doc49187;2014-06-09 21:37:48
2141;2163;doc2016;2014-05-21 18:44:12
2141;2237;docNULL;2014-05-21 20:16:57
2141;4462;doc2563;2014-05-25 11:31:41
2141;4655;doc15704;2014-05-25 18:57:20
2141;8568;doc49187;2014-06-02 14:55:34
2141;10661;webcollagerestNULL;2014-06-09 19:57:31
2141;13272;doc8412;2014-07-06 11:44:52
824;825;doc2016;2014-05-12 18:15:38
824;1047;doc2563;2014-05-19 11:00:03
824;5080;doc15704;2014-05-26 13:37:51
1412;1413;doc2016;2014-05-20 12:32:42
9426;9427;doc2016;2014-06-04 22:00:48
1663;1664;doc2016;2014-05-20 20:02:57
1663;1892;docNULL;2014-05-21 09:18:15
1663;5680;doc2563;2014-05-27 09:58:07
1663;6405;doc15704;2014-05-28 10:54:32
1663;8272;doc49187;2014-06-01 18:41:58
1663;10978;doc14;2014-06-11 12:57:49
2797;3400;docNULL;2014-05-23 16:01:19
1382;1383;doc2016;2014-05-20 12:07:10
1382;1401;docNULL;2014-05-20 12:22:28
